sp;long;lat
Akodon_cursor;-43.4161;-20.3778
Akodon_cursor;-40.45833333;-20.37694444
Akodon_cursor;-40.44166667;-20.37694444
Akodon_cursor;-40.47278;-20.35917
Akodon_cursor;-40.46055556;-20.35916667
Akodon_cursor;-40.3378;-20.3194
Akodon_cursor;-42.4775;-20.3011
Akodon_cursor;-40.52194444;-20.28111111
Akodon_cursor;-40.51138889;-20.28111111
Akodon_cursor;-42;-20.13333333
Akodon_cursor;-40.307778;-20.128611
Akodon_cursor;-40.3078;-20.1286
Akodon_cursor;-43.8467;-19.9856
Akodon_cursor;-40.53944444;-19.965
Akodon_cursor;-40.52722222;-19.965
Akodon_cursor;-40.54;-19.965
Akodon_cursor;-40.52;-19.96
Akodon_cursor;-43.4153;-19.9594
Akodon_cursor;-43.4872;-19.9458
Akodon_cursor;-40.600278;-19.935556
Akodon_cursor;-43.9378;-19.9208
Akodon_cursor;-40.533333;-19.865556
Akodon_cursor;-43.13;-19.811944
Akodon_cursor;-40.8556;-19.8019
Akodon_cursor;-40.77557;-19.79918
Akodon_cursor;-42.65;-19.7166667
Akodon_cursor;-42.65;-19.71666667
Akodon_cursor;-43.2269;-19.6192
Akodon_cursor;-41.639;-19.4958
Akodon_cursor;-40.72222;-19.391111
Akodon_cursor;-43.425;-19.372
Akodon_cursor;-43.7144;-19.1689
Akodon_cursor;-40.81388889;-18.87472222
Akodon_cursor;-40.78611111;-18.87472222
Akodon_cursor;-51.76417;-18.784611
Akodon_cursor;-43.6003;-18.2494
Akodon_cursor;-42.7666667;-17.1333333
Akodon_cursor;-42.8897;-16.5594
Akodon_cursor;-39.4958;-15.4192
Akodon_cursor;-39;-15.35
Akodon_cursor;-39.7611111;-15.25166667
Akodon_cursor;-48.9158;-14.9708
Akodon_cursor;-39.7339;-14.1372
Akodon_cursor;-39.75;-13.53
Akodon_cursor;-38.5108;-12.9711
Akodon_cursor;-41.2613889;-12.8016667
Akodon_cursor;-41.26138889;-12.80166667
Akodon_montensis;-50.5836;-29.4481
Akodon_montensis;-49.3167;-25.9333
Akodon_montensis;-49.3261;-25.7789
Akodon_montensis;-54.4616667;-25.6277778
Akodon_montensis;-49.633;-25.4417
Akodon_montensis;-49.483;-25.3922
Akodon_montensis;-49.553;-25.3056
Akodon_montensis;-49.2242;-25.2917
Akodon_montensis;-47.98728;-24.6973
Akodon_montensis;-47.98721;-24.6856
Akodon_montensis;-47.99204;-24.6649
Akodon_montensis;-47.99;-23.87
Akodon_montensis;-46.471111;-23.646111
Akodon_montensis;-47.6280556;-23.4352778
Akodon_montensis;-46.363333;-23.373056
Akodon_montensis;-46.353611;-23.367222
Akodon_montensis;-45.125;-23.35833
Akodon_montensis;-51.1628;-23.3103
Akodon_montensis;-51.481;-23.2692
Akodon_montensis;-46.278;-23.249444
Akodon_montensis;-46.900833;-23.234444
Akodon_montensis;-46.924444;-23.231944
Akodon_montensis;-45.290278;-23.173056
Akodon_montensis;-45.291389;-23.172222
Akodon_montensis;-47.6;-22.9
Akodon_montensis;-43.839722;-22.652778
Akodon_montensis;-43.830833;-22.649722
Akodon_montensis;-44.849167;-22.549444
Akodon_montensis;-44.855278;-22.544722
Akodon_montensis;-55.315;-22.3488889
Akodon_montensis;-55.31;-22.2797222
Akodon_montensis;-46.5614;-21.7878
Akodon_montensis;-47.838056;-20.515278
Akodon_montensis;-47.8625;-20.507778
Akodon_montensis;-43.8578;-20.4997
Akodon_montensis;-47.860556;-20.497222
Akodon_montensis;-42.9086;-20.4164
Akodon_montensis;-43.4161;-20.3778
Akodon_montensis;-44.1447;-20.353
Akodon_montensis;-40.3378;-20.3194
Akodon_montensis;-43.8014;-20.2533
Akodon_montensis;-44.1997;-20.1433
Akodon_montensis;-43.8467;-19.9856
Akodon_montensis;-43.4153;-19.9594
Akodon_montensis;-43.4872;-19.9458
Akodon_montensis;-46.8231;-19.9222
Akodon_montensis;-43.8067;-19.8864
Akodon_montensis;-43.6697;-19.88
Akodon_montensis;-43.3622;-19.8261
Brucepattersonius_soricinus;-52.22415;-27.45917
Brucepattersonius_soricinus;-51.228617;-25.3502
Brucepattersonius_soricinus;-48.875983;-25.13955
Brucepattersonius_soricinus;-47.68333;-23.931667
Brucepattersonius_soricinus;-47.99;-23.87
Brucepattersonius_soricinus;-46.184583;-23.511967
Brucepattersonius_soricinus;-45.275833;-23.209722
Brucepattersonius_soricinus;-46.783;-22.199867
Calomys_tener;-49.51;-23.388333
Calomys_tener;-46.795317;-23.28983
Calomys_tener;-45.279444;-23.208056
Calomys_tener;-43.8278;-22.892
Calomys_tener;-48.445;-22.885833
Calomys_tener;-43.858056;-22.649444
Calomys_tener;-44.69444;-22.5825
Calomys_tener;-44.65;-22.574722
Calomys_tener;-47.55535;-22.366417
Calomys_tener;-46.783;-22.199867
Calomys_tener;-47.890833;-22.175
Calomys_tener;-51.235556;-22.12222
Calomys_tener;-48.1585;-21.949183
Calomys_tener;-48.190717;-21.916283
Calomys_tener;-51.181389;-21.798889
Calomys_tener;-51.168967;-21.619444
Calomys_tener;-47.78845;-21.42517
Calomys_tener;-51.61135;-21.382317
Calomys_tener;-51.755278;-21.350833
Calomys_tener;-47.729444;-21.340278
Calomys_tener;-47.169722;-21.282778
Calomys_tener;-47.304167;-21.275278
Calomys_tener;-48.496389;-21.261111
Calomys_tener;-48.37222;-21.225
Calomys_tener;-47.865917;-21.143067
Calomys_tener;-47.990278;-21.137778
Calomys_tener;-47.585;-20.891111
Calomys_tener;-43.7894;-20.875
Calomys_tener;-42.8819;-20.7539
Calomys_tener;-47.809367;-20.729567
Calomys_tener;-48.17725;-20.674933
Calomys_tener;-47.475317;-20.669317
Calomys_tener;-46.53235;-20.641083
Calomys_tener;-43.8578;-20.4997
Calomys_tener;-43.5081;-20.2875
Calomys_tener;-43.8467;-19.9856
Calomys_tener;-43.9378;-19.9208
Calomys_tener;-47.879633;-19.727967
Calomys_tener;-47.9169;-19.386
Calomys_tener;-43.425;-19.372
Calomys_tener;-46.48889;-19.311111
Calomys_tener;-43.7144;-19.1689
Calomys_tener;-48.278517;-18.880833
Calomys_tener;-48.66735;-18.68145
Calomys_tener;-47.887778;-18.565833
Calomys_tener;-42.6925;-17.833
Calomys_tener;-42.703;-16.8497
Calomys_tener;-43.4883;-16.4758
Calomys_tener;-39.9469;-16.28
Calomys_tener;-40.2933;-16.1444
Calomys_tener;-42.2331;-15.8078
Calomys_tener;-43.283;-15.7433
Calomys_tener;-39.7611111;-15.25166667
Calomys_tener;-48.9158;-14.9708
Caluromys_philander;-45.69722;-23.430278
Caluromys_philander;-47.6;-22.9
Caluromys_philander;-40.41;-20.6
Caluromys_philander;-40.46138889;-20.38888889
Caluromys_philander;-40.43861111;-20.38888889
Caluromys_philander;-40.46833333;-20.37916667
Caluromys_philander;-40.465;-20.37916667
Caluromys_philander;-40.33;-20.3
Caluromys_philander;-40.23771389;-20.11866389
Caluromys_philander;-40.54;-19.965
Caluromys_philander;-40.600278;-19.935556
Caluromys_philander;-42.65;-19.7166667
Caluromys_philander;-42.65;-19.71666667
Caluromys_philander;-39.23611111;-17.79444444
Caluromys_philander;-39.26388889;-17.79444444
Cavia_aperea;-51.23;-30.331
Cavia_aperea;-50.5097;-30.2578
Cavia_aperea;-51.5494;-28.9361
Cavia_aperea;-51.1628;-23.3103
Cavia_aperea;-46.88;-23.180278
Cavia_aperea;-47.6;-22.9
Cavia_aperea;-47.639722;-22.72
Cavia_aperea;-46.65;-22.520278
Cavia_aperea;-44.9667;-22.3903
Cavia_aperea;-48.99722;-21.72
Cavia_aperea;-46.609444;-20.719167
Cavia_aperea;-43.8467;-19.9856
Cavia_aperea;-47.9169;-19.386
Cavia_aperea;-43.425;-19.372
Cavia_aperea;-43.7144;-19.1689
Cavia_aperea;-43.6003;-18.2494
Cavia_fulgida;-40.3378;-20.3194
Cavia_fulgida;-40.298;-20.295
Cavia_fulgida;-40.28;-20.25
Cavia_fulgida;-40.600278;-19.935556
Cavia_fulgida;-42.65;-19.71666667
Cavia_fulgida;-40.745;-18.84972222
Cerradomys_subflavus;-43.9378;-19.9208
Cerradomys_subflavus;-47.93888889;-19.8527778
Cerradomys_subflavus;-42.65;-19.71666667
Cerradomys_subflavus;-47.73944444;-19.13055556
Cerradomys_subflavus;-47.73138889;-19.11944444
Cerradomys_subflavus;-40.81388889;-18.87472222
Cerradomys_subflavus;-39.56444444;-17.97527778
Cerradomys_subflavus;-39;-15.35
Cerradomys_subflavus;-41.26138889;-12.80166667
Cerradomys_vivoi;-39.75;-18.94
Cerradomys_vivoi;-40.76111;-18.905556
Cerradomys_vivoi;-40.78611111;-18.87472222
Cerradomys_vivoi;-40.14166;-18.37055
Cerradomys_vivoi;-39.53555556;-17.97527778
Cerradomys_vivoi;-39.60272;-15.2706
Cerradomys_vivoi;-39.7339;-14.1372
Delomys_dorsalis;-50.5836;-29.4481
Delomys_dorsalis;-52.22415;-27.45917
Delomys_dorsalis;-49.633;-25.4417
Delomys_dorsalis;-48.4166667;-24.3333333
Delomys_dorsalis;-48.34;-24
Delomys_dorsalis;-47.68333;-23.931667
Delomys_dorsalis;-45.9;-23.65
Delomys_dorsalis;-46.549722;-23.110278
Delomys_dorsalis;-45.33333333;-22.6
Delomys_dorsalis;-45.8333333;-22.46666667
Delomys_dorsalis;-44.85;-22.38333333
Delomys_dorsalis;-40.54;-19.965
Delomys_sublineatus;-48.36;-24.9
Delomys_sublineatus;-47.550667;-24.705833
Delomys_sublineatus;-47.99106;-24.6751
Delomys_sublineatus;-47.9903;-24.655
Delomys_sublineatus;-48.4166667;-24.3333333
Delomys_sublineatus;-47.68333;-23.931667
Delomys_sublineatus;-47.99;-23.87
Delomys_sublineatus;-47.3333;-23.68333
Delomys_sublineatus;-45.9;-23.65
Delomys_sublineatus;-46.934278;-23.239067
Delomys_sublineatus;-46.934231;-23.238931
Delomys_sublineatus;-46.933261;-23.237789
Delomys_sublineatus;-46.933128;-23.237719
Delomys_sublineatus;-46.944339;-23.231736
Delomys_sublineatus;-41.112778;-20.848889
Delomys_sublineatus;-41.184722;-20.603611
Delomys_sublineatus;-41.73028;-20.49722
Delomys_sublineatus;-41.73166667;-20.39638889
Delomys_sublineatus;-42;-20.13333333
Delomys_sublineatus;-40.600278;-19.935556
Didelphis_albiventris;-54.5333333;-25.4166667
Didelphis_albiventris;-45.349722;-23.770278
Didelphis_albiventris;-47.6;-22.9
Didelphis_albiventris;-47.75;-22.8106
Didelphis_albiventris;-46.941944;-22.372222
Didelphis_albiventris;-55.315;-22.3488889
Didelphis_albiventris;-55.31;-22.2797222
Didelphis_albiventris;-45.539444;-20.281944
Didelphis_albiventris;-47.70805556;-19.17083333
Didelphis_albiventris;-47.7080556;-19.1708333
Didelphis_albiventris;-47.73138889;-19.11944444
Didelphis_albiventris;-47.7313889;-19.1194444
Didelphis_albiventris;-41.10333333;-17.47527778
Didelphis_albiventris;-48.96666667;-16.33333333
Didelphis_albiventris;-39.60272;-15.2706
Didelphis_albiventris;-41.2613889;-12.8016667
